Sample,Actinobacteriota,Bacteria_unclassified,Bacteroidota,Deinococcota,Firmicutes,Patescibacteria,Proteobacteria
A18101,3.0717335315972507,0,-5.311928267194465,-3.925633906074574,4.767233799413824,0,1.398594842257963
A18102,4.274315020020028,-4.7615529101056,0,0,5.567692453806455,-4.7615529101056,-0.3189016536152831
A18103,3.276495361142257,-5.092197821955536,-2.8949732446193166,1.010360772658033,5.355588814404121,-3.7059034608356454,2.0506295792060847
A18105,1.534540224286955,0,-2.4827585474451803,0,2.8617224538302146,0,-1.9135041306719893
A18107,2.3108741491895906,0,-0.6899534800962401,0,3.6180782981980357,-0.15768752509238038,-5.081311442199006
A18108,3.4207090068095605,0,-6.195296453277453,0,2.9154445534759743,0,-0.14085710700808196
A18109,2.503269503642409,-5.953791444719074,0,0,1.6385746838007211,0,1.8119472572759427
A18110,-4.111969437036896,0,0,0,2.8394438112847045,0,1.272525625752193
A18112,-2.974519595430155,0,0,0,3.88805971202021,0,-0.9135401165900543
A18113,3.8235818074329346,-6.330664463450376,-0.9279870815780971,0,3.6949964730434273,0,-0.2599267354478867
A18114,1.1119274892541835,0,-2.4712757428062506,0,1.8654206443683279,0,-0.5060723908162581
A18115,1.0869727148254489,0,0,-0.6911374056022277,3.845876879115763,0,-4.241712188338983
A18117,-1.4236698732251432,-3.7750451303886208,-1.2627395064125055,0,2.522984576172643,-0.89397576515477,4.832445699008398
A18118,5.277655731927144,-5.502737025748846,-4.404124737080736,0,3.5880312110864914,0,1.0411748198159456
A18119,0.9892708914084318,0,-2.503048182259296,0,4.944542326084086,-4.484049651125879,1.0532846158926574
A18120,0.8279583895998393,-5.292339029351111,0,0,5.405249021959549,1.461098889246669,-2.4019672714549465
A18122,0.020296238413185286,-4.957968897874817,-0.45323310920849647,0,3.018817274686076,-1.0752602801154465,3.447348774099498
A18125,2.331240632512335,0,0,0,2.218017149456756,-6.605189071095985,2.055931289126896
A18127,3.7171181201990438,0,-5.161170231589417,0,4.353930544373298,0,-2.9098784329829224
A18138,-2.1653570494774,-3.0694525082577373,0,0,1.684007057807622,0,3.5508024999275145
A18139,-0.17969332290442086,-2.4704439582514635,-3.5989092100692543,0,1.8033585875253353,0,4.445687903699802
A18141,0.4314015918708032,-1.3745425123492088,-3.8312782851705123,0,3.416277020525512,-4.929890573838622,6.288032758962026
A18142,1.7389649110892753,-4.570953367137241,-0.24022002685090982,0,5.340576757042072,0,-2.2683682741431954
A18146,0.712001293570264,0,-0.5053535702489285,0,0.7842536635093111,0,-0.9909013868306502
A18148,2.913102224292472,0,-6.8246258597486795,0,3.029986525005312,0,0.8815371104508962
A18149,0.785881623392358,0,0,0,4.063026356384534,0,-4.848907979776891
A18151,1.9983695062056146,0,0,0,3.371916081567173,0,-5.370285587772788
A18154,1.608501862322477,0,0,0,2.5160364607939876,0,-4.1245383231164645
A18156,2.6732441920055328,-6.038857671710131,0,0,3.283441399952104,0,0.0821720797524943
A18158,2.1360018531158094,-4.733359037879017,-3.6919051630508557,0,4.005563371820493,0,2.2836989759935697
A18164,-0.7284952438372674,0,0,0,2.5974052164994763,0,-1.868909972662208
A18165,5.051554870557034,-3.6603823976517145,-3.6603823976517145,0,5.929592322398111,0,-3.6603823976517145
A18166,0.07424278556036246,0,0,0,3.7969722103936583,0,-3.871214995954021
A18169,-1.8281614810050866,0,0,0,5.206920374421341,0,-3.3787588934162534
A18173,1.1553616497009633,0,0,0,3.9138351298734335,0,-5.069196779574396
A18174,1.0015212446753434,0,0,0,4.003310670251047,0,-5.00483191492639
A18175,1.1127165352001658,0,0,0,2.0726449768144644,0,-3.185361512014631
A18178,2.2616229947498026,-6.234142249252815,0,0,3.9725192545030117,0,0
A18179,1.583999362975602,0,0,0,0.41341070937341406,0,-1.997410072349016
A18180,-3.967640629204313,0,0,0,4.443112098540743,0,-0.4754714693364308
A18182,2.942632245268773,0,-5.345902214145144,0,5.446587090027468,0,-3.043317121151098
A18184,3.808440476005856,-5.540965944093324,1.5474428345820703,-5.540965944093324,5.086997868039473,0,0.6390507095592479
A18186,-2.0131432740755786,0,0,0,4.740939933932065,0,-2.7277966598564873
A18190,2.150512397645504,-6.83355453000754,0,0,4.037297024586743,0,0.6457451077752934
A18194,-1.917904068637836,0,0,0,5.361864440770721,0,-3.443960372132885
A18196,2.3401782689350368,0,-3.6968967894249976,0,3.807678306489991,0,-2.4509597860000296
A18197,1.5337544507333583,-6.334308445539708,0,0,3.6923697175516175,0,1.1081842772547326
A18198,2.421645392188039,-5.029247800027335,-0.3733844997237252,0,3.9778741894419083,-2.5115513274163437,1.5146640455374571
A18200,1.8959993727020725,0,0,0,2.670623655879969,0,-4.566623028582041
A18201,4.067091082565119,-5.162855819049982,-5.162855819049982,0,5.470833821997102,0,0.7877867335377449
A18203,1.8593634751232573,-6.830942334001626,-1.0318496795411,0,4.222959005765875,0,1.7804695326535933
A18204,0.8245909399156695,-6.3668383901207095,0,0,4.285443893814178,0,1.256803556390862
A18205,-4.722590838550504,0,0.059050490553365975,0,3.2005400371959434,0,1.4630003108011946
A18206,0,0,-4.549919862505074,0,3.45086548684894,0,1.0990543756561326
A18207,-0.20959246607909598,-3.883358282382984,-1.5807731893889385,-2.7847459937148744,4.99594704461903,0,3.462522886946865
A18212,2.6388882820742,-6.152141574971765,-0.5648929165715151,0,4.422145294460401,0,-0.3439990849913208
A18213,2.234586445225392,0,-4.211133374160187,0,5.494533122535035,0,-3.5179861936002417
A18214,-5.462299713018237,0,0,0,4.09841580074815,0,1.3638839122700883
A18218,1.9641173139247803,0,-5.25424279214156,0,3.500943153439093,0,-0.2108176752223132
