Metabolite,Genera,Microbe_Metabolite_cor,p,padj,Microbe_HMO_cor,Direction
X10230,Streptococcus,-0.16066635706545684,0.018128954253865626,0.34734138457634944,-0.13618358325387883,-1
X10367,Streptococcus,-0.14010747615007704,0.03654451126044678,0.4623938346444463,-0.13618358325387883,-1
X10574,Streptococcus,-0.14726036224321637,0.02825574852648849,0.42398732815682727,-0.13618358325387883,-1
X10604,Streptococcus,-0.1806427797425547,0.007781151205827452,0.32863122063467304,-0.13618358325387883,-1
X10696,Streptococcus,-0.1665005914544295,0.012985643687900783,0.3294163403568749,-0.13618358325387883,-1
X10711,Streptococcus,-0.17906114798686565,0.008195604103669929,0.32863122063467304,-0.13618358325387883,-1
X10904,Streptococcus,-0.16112043759102582,0.01651511449412313,0.34652039676928437,-0.13618358325387883,-1
X14307,Streptococcus,-0.2035920762513238,0.001519969033475288,0.1736875082167981,-0.13618358325387883,-1
X1766,Streptococcus,0.16622665454218422,0.011760453626103118,0.3294163403568749,-0.13618358325387883,1
X1767,Streptococcus,0.21983073036946904,5.013151540955718e-4,0.11722419353268121,-0.13618358325387883,1
X341,Streptococcus,-0.13866877179658849,0.035984884350029445,0.4623938346444463,-0.13618358325387883,-1
X3652,Streptococcus,0.13871352148417407,0.031347428708908165,0.44767394705145225,-0.13618358325387883,1
X7226,Streptococcus,-0.14313312382267696,0.03510315385415197,0.4623938346444463,-0.13618358325387883,-1
X7232,Streptococcus,-0.13736213792267604,0.040418018258868704,0.4623938346444463,-0.13618358325387883,-1
X7268,Streptococcus,-0.1308322492176787,0.04375497211942947,0.4638630103809586,-0.13618358325387883,-1
X7269,Streptococcus,-0.14267514831452968,0.02677786079319433,0.4128498757456225,-0.13618358325387883,-1
X734,Streptococcus,0.16367854059890996,0.009973044091761807,0.3294163403568749,-0.13618358325387883,1
X7475,Streptococcus,0.12814842643354682,0.04209626996392313,0.4623938346444463,-0.13618358325387883,1
X7636,Streptococcus,-0.13606251190331908,0.04236900213606809,0.4623938346444463,-0.13618358325387883,-1
X8122,Streptococcus,0.1278474672737621,0.04300243317783736,0.46252442017140816,-0.13618358325387883,1
X8124,Streptococcus,0.1458701238711632,0.02053054068219029,0.36693437677850926,-0.13618358325387883,1
X10574,Haemophilus,-0.19077054550633812,0.03768898320654479,0.4623938346444463,-0.15513743514246217,-1
X10604,Haemophilus,-0.2543796550225539,0.005645749953518964,0.30465335326104254,-0.15513743514246217,-1
X10696,Haemophilus,-0.23181824993630956,0.011905477062829073,0.3294163403568749,-0.15513743514246217,-1
X10706,Haemophilus,-0.18715994872525282,0.041532860476800604,0.4623938346444463,-0.15513743514246217,-1
X10771,Haemophilus,0.17649018831337313,0.04457329634256668,0.4650541063383254,-0.15513743514246217,1
X10833,Haemophilus,-0.1833288172334372,0.04413806976896506,0.4638630103809586,-0.15513743514246217,-1
X10904,Haemophilus,-0.2684422529342315,0.0030320454997561086,0.24308341920901833,-0.15513743514246217,-1
X11405,Haemophilus,0.17695934810474273,0.045692194690317045,0.4659009662125814,-0.15513743514246217,1
X11889,Haemophilus,-0.21842958300550747,0.01480145708759184,0.3394348212931845,-0.15513743514246217,-1
X11892,Haemophilus,-0.22496601987251594,0.010995097727018788,0.3294163403568749,-0.15513743514246217,-1
X11984,Haemophilus,0.254018954018954,0.007140116919315931,0.32051845984061506,-0.15513743514246217,1
X14146,Haemophilus,-0.18254739912493922,0.045979989204387284,0.4659009662125814,-0.15513743514246217,-1
X14307,Haemophilus,-0.19149615975422427,0.03240951462718833,0.4569904424316103,-0.15513743514246217,-1
X1766,Haemophilus,0.20282209696766454,0.024456783516834113,0.39214705456135157,-0.15513743514246217,1
X20709,Haemophilus,-0.21032527184101987,0.01762408816372396,0.34734138457634944,-0.15513743514246217,-1
X268,Haemophilus,-0.20600957868488162,0.03777480696369073,0.4623938346444463,-0.15513743514246217,-1
X686,Haemophilus,-0.31151319832306873,3.089362417116881e-4,0.09631945491588853,-0.15513743514246217,-1
X709,Haemophilus,-0.34838484135390524,4.2478441957261026e-5,0.02979862703301861,-0.15513743514246217,-1
X711,Haemophilus,-0.34890139992590774,4.130615312369912e-5,0.02979862703301861,-0.15513743514246217,-1
X10574,Actinomyces,-0.18468741535643807,0.040855270313750136,0.4623938346444463,-0.22271816384941592,-1
X10604,Actinomyces,-0.19211650761999716,0.0363346658421948,0.4623938346444463,-0.22271816384941592,-1
X10696,Actinomyces,-0.18700040644899066,0.039994382613495194,0.4623938346444463,-0.22271816384941592,-1
X12426,Actinomyces,0.21931758530183726,0.013609181556762273,0.3294163403568749,-0.22271816384941592,1
X12435,Actinomyces,0.19155525816274974,0.02901879304603039,0.4265712436585445,-0.22271816384941592,1
X1767,Actinomyces,0.1829041069163984,0.03372553183231064,0.461628499129091,-0.22271816384941592,1
X2118,Actinomyces,0.20327496159754224,0.022987417255082132,0.383944600105717,-0.22271816384941592,1
X266,Actinomyces,-0.1793641607706237,0.035975281993946506,0.4623938346444463,-0.22271816384941592,-1
X7268,Actinomyces,-0.1778547454116975,0.04054837382892629,0.4623938346444463,-0.22271816384941592,-1
X853,Actinomyces,-0.2206187109564957,0.010420206693501965,0.3294163403568749,-0.22271816384941592,-1
X1286,Corynebacterium,0.19190632636877114,0.007196244821795705,0.32051845984061506,0.11139669956354316,1
X1287,Corynebacterium,0.17133308517697324,0.016625344613223625,0.34652039676928437,0.11139669956354316,1
X14987,Corynebacterium,0.18396339889864277,0.011061524628976027,0.3294163403568749,0.11139669956354316,1
X266,Corynebacterium,0.23227666701198246,0.0010218174096643384,0.1592899806398963,0.11139669956354316,1
X268,Corynebacterium,0.18558065610115357,0.016022594784245392,0.3432015340808593,0.11139669956354316,1
X293,Corynebacterium,0.2106875228756911,0.004095340574588047,0.27151856930866985,0.11139669956354316,1
X315,Corynebacterium,0.17274076245259862,0.024283874694869922,0.39161237007933913,0.11139669956354316,1
X10350,Staphylococcus,0.16751786444440117,0.010763449825505145,0.3294163403568749,0.24321012610514892,1
X1039,Staphylococcus,-0.15914093883697256,0.012090015293503065,0.3294163403568749,0.24321012610514892,-1
X10711,Staphylococcus,0.15398804601851984,0.020280532685531538,0.3653244171213727,0.24321012610514892,1
X10833,Staphylococcus,0.17848061365894724,0.006415115646014158,0.31260072231057634,0.24321012610514892,1
X10868,Staphylococcus,0.18660481072862656,0.004885412978281822,0.28152398049823235,0.24321012610514892,1
X1286,Staphylococcus,0.2062382586317072,8.60728558894408e-4,0.1592899806398963,0.24321012610514892,1
X1287,Staphylococcus,0.2066254962806687,8.025115884606748e-4,0.1592899806398963,0.24321012610514892,1
X13726,Staphylococcus,0.1449987531969174,0.024076428326842203,0.39161237007933913,0.24321012610514892,1
X140,Staphylococcus,0.23875604830958558,1.219919451949103e-4,0.057051566369486384,0.24321012610514892,1
X1766,Staphylococcus,-0.1710861347875838,0.008168550764409144,0.32863122063467304,0.24321012610514892,-1
X20450,Staphylococcus,0.12404020810499862,0.046546960339782784,0.4659009662125814,0.24321012610514892,1
X266,Staphylococcus,0.19344601209025206,0.001621282847272365,0.17497383344024062,0.24321012610514892,1
X268,Staphylococcus,0.15080658610070374,0.024959732547979563,0.39346634567208233,0.24321012610514892,1
X293,Staphylococcus,0.20079641612742657,0.001547465326236619,0.1736875082167981,0.24321012610514892,1
X315,Staphylococcus,0.1348835350194358,0.04141837804847359,0.4623938346444463,0.24321012610514892,1
X349,Staphylococcus,0.13195211711233873,0.03903216812678556,0.4623938346444463,0.24321012610514892,1
X436,Staphylococcus,0.12601054468367823,0.04567516665758786,0.4659009662125814,0.24321012610514892,1
X625,Staphylococcus,-0.1549930999543515,0.011841920233374381,0.3294163403568749,0.24321012610514892,-1
X686,Staphylococcus,0.2033530744959575,0.0010203205518501957,0.1592899806398963,0.24321012610514892,1
X6881,Staphylococcus,0.13463403474837315,0.03793498063818257,0.4623938346444463,0.24321012610514892,1
X709,Staphylococcus,0.2540522925830446,3.059193825394324e-5,0.02979862703301861,0.24321012610514892,1
X711,Staphylococcus,0.25298799530661625,3.428181061027047e-5,0.02979862703301861,0.24321012610514892,1
X7158,Staphylococcus,0.14523534776556424,0.021615535141405795,0.38048180359500655,0.24321012610514892,1
X7160,Staphylococcus,0.15787821522474907,0.01279806982036824,0.3294163403568749,0.24321012610514892,1
X7161,Staphylococcus,0.14727755644090307,0.019574131348436552,0.360903224657248,0.24321012610514892,1
X7171,Staphylococcus,0.15757485773075589,0.012257126168143895,0.3294163403568749,0.24321012610514892,1
X7236,Staphylococcus,0.13687210282343026,0.04023674862563942,0.4623938346444463,0.24321012610514892,1
X7268,Staphylococcus,0.14987073801277986,0.018196430339530778,0.34734138457634944,0.24321012610514892,1
X7269,Staphylococcus,0.15333560994118764,0.015033803261337741,0.3396846141759878,0.24321012610514892,1
X7636,Staphylococcus,0.1613600007397339,0.013261690141390226,0.3294163403568749,0.24321012610514892,1
X8,Staphylococcus,-0.18635676308472757,0.003221505171602246,0.2443119867977271,0.24321012610514892,-1
X10230,Veillonella,-0.23569303624552243,0.0014027844502968456,0.1736875082167981,-0.20675677014203928,-1
X10333,Veillonella,-0.13762553236237446,0.046904383018963935,0.466715243798627,-0.20675677014203928,-1
X10350,Veillonella,-0.21478106759646318,0.0034134211492786726,0.25205420381252513,-0.20675677014203928,-1
X10367,Veillonella,-0.2070238090868718,0.004470648547955758,0.27406674216205484,-0.20675677014203928,-1
X10408,Veillonella,-0.16989051464189586,0.022227650687904,0.3809291049703779,-0.20675677014203928,-1
X10574,Veillonella,-0.21906531793890993,0.002524294315628506,0.2213490578016746,-0.20675677014203928,-1
X10604,Veillonella,-0.22230991844251513,0.002630731127571284,0.22369186496863708,-0.20675677014203928,-1
X10696,Veillonella,-0.18907431943888806,0.009552109996404878,0.3294163403568749,-0.20675677014203928,-1
X10706,Veillonella,-0.16735922351355736,0.02393354996617636,0.39161237007933913,-0.20675677014203928,-1
X10711,Veillonella,-0.2166631349810252,0.0031357739067972012,0.2443119867977271,-0.20675677014203928,-1
X10904,Veillonella,-0.17532450189626622,0.01473678355940522,0.3394348212931845,-0.20675677014203928,-1
X14307,Veillonella,-0.16656827067899055,0.01782352104176166,0.34734138457634944,-0.20675677014203928,-1
X14355,Veillonella,-0.18184761642325709,0.011811895495623226,0.3294163403568749,-0.20675677014203928,-1
X1550,Veillonella,0.17772970310961025,0.010406206271085683,0.3294163403568749,-0.20675677014203928,1
X1767,Veillonella,0.18243204164256796,0.008198212916759484,0.32863122063467304,-0.20675677014203928,1
X20709,Veillonella,-0.18461784903400147,0.008049643854436184,0.32863122063467304,-0.20675677014203928,-1
X2202,Veillonella,0.18673755687485666,0.006918635056503586,0.31825721259916495,-0.20675677014203928,1
X266,Veillonella,-0.18698170330393576,0.006199639990048134,0.31260072231057634,-0.20675677014203928,-1
X369,Veillonella,0.15085473269559077,0.02884726977022556,0.4265712436585445,-0.20675677014203928,1
X573,Veillonella,0.14233696842908736,0.042271420225935774,0.4623938346444463,-0.20675677014203928,1
X7158,Veillonella,-0.13841866658430196,0.04723865025002949,0.46673117113233364,-0.20675677014203928,-1
X7160,Veillonella,-0.1532889017676036,0.028603890670314325,0.4265712436585445,-0.20675677014203928,-1
X7161,Veillonella,-0.14567571516706174,0.036224145485140635,0.4623938346444463,-0.20675677014203928,-1
X7171,Veillonella,-0.16727342070591497,0.015737235938082517,0.3396846141759878,-0.20675677014203928,-1
X7268,Veillonella,-0.1517836497611121,0.029816039510390357,0.43125673642348117,-0.20675677014203928,-1
X7269,Veillonella,-0.14008380607233678,0.044615690585145806,0.4650541063383254,-0.20675677014203928,-1
X734,Veillonella,0.2241829490113243,0.0011328784336137598,0.16418537147281542,-0.20675677014203928,1
X8122,Veillonella,0.14284634751187983,0.037686604782517286,0.4623938346444463,-0.20675677014203928,1
X10230,Lactobacillales,-0.23697788697788696,0.012271700148428266,0.3294163403568749,-0.2139308060360692,-1
X10350,Lactobacillales,-0.24091126524754844,0.010504417705723412,0.3294163403568749,-0.2139308060360692,-1
X10367,Lactobacillales,-0.23500941657722607,0.011838709584073293,0.3294163403568749,-0.2139308060360692,-1
X10408,Lactobacillales,-0.2196755837265345,0.018853896537914583,0.35269355790258883,-0.2139308060360692,-1
X10574,Lactobacillales,-0.3033930403219443,9.806030362211615e-4,0.1592899806398963,-0.2139308060360692,-1
X10604,Lactobacillales,-0.2506577373834011,0.007683978167902117,0.32863122063467304,-0.2139308060360692,-1
X10696,Lactobacillales,-0.2697758247099087,0.003699675628211274,0.26618691827591884,-0.2139308060360692,-1
X10904,Lactobacillales,-0.18892085899683797,0.04135433348083528,0.4623938346444463,-0.2139308060360692,-1
X14307,Lactobacillales,-0.3457390597480016,1.0269341105040297e-4,0.057051566369486384,-0.2139308060360692,-1
X1767,Lactobacillales,0.23128930246083385,0.010370353826304468,0.3294163403568749,-0.2139308060360692,1
X38,Lactobacillales,-0.21060558377916647,0.022654231145142756,0.38293838911608774,-0.2139308060360692,-1
X6879,Lactobacillales,-0.21369841395091926,0.021837472047614437,0.38048180359500655,-0.2139308060360692,-1
X6881,Lactobacillales,-0.2194697957409822,0.01743025959242095,0.34734138457634944,-0.2139308060360692,-1
X7158,Lactobacillales,-0.26624833937392783,0.0029145465947006954,0.24053581602147506,-0.2139308060360692,-1
X7160,Lactobacillales,-0.2588126039906618,0.00384651700551486,0.26983316793686746,-0.2139308060360692,-1
X7161,Lactobacillales,-0.2737421160568031,0.0021862502329641487,0.20602199745087246,-0.2139308060360692,-1
X7171,Lactobacillales,-0.3095704169944925,4.6758392583079456e-4,0.11722419353268121,-0.2139308060360692,-1
X7226,Lactobacillales,-0.2672976389790549,0.00438416448597545,0.27406674216205484,-0.2139308060360692,-1
X7232,Lactobacillales,-0.25570563577084304,0.00603437908708182,0.31260072231057634,-0.2139308060360692,-1
X7236,Lactobacillales,-0.22516059148046452,0.020310266953290856,0.3653244171213727,-0.2139308060360692,-1
X7268,Lactobacillales,-0.2724343036978757,0.0022052911642411743,0.20602199745087246,-0.2139308060360692,-1
X7269,Lactobacillales,-0.2784821555248868,0.001815143691127119,0.18864048878898873,-0.2139308060360692,-1
X7636,Lactobacillales,-0.21354367064255483,0.022532100958764234,0.38293838911608774,-0.2139308060360692,-1
X7686,Lactobacillales,-0.22011255610458003,0.016618879169745027,0.34652039676928437,-0.2139308060360692,-1
X8,Lactobacillales,0.18385502832162853,0.04626809215673222,0.4659009662125814,-0.2139308060360692,1
X8122,Lactobacillales,0.18087864823348695,0.0435235151009159,0.4638630103809586,-0.2139308060360692,1
X926,Lactobacillales,0.20881474322365243,0.03427947560992939,0.4623938346444463,-0.2139308060360692,1
X10408,Neisseria,-0.24286546301688994,0.01391175093100605,0.3294163403568749,-0.1334902955396314,-1
X11405,Neisseria,0.23942762963598083,0.012572178409240076,0.3294163403568749,-0.1334902955396314,1
X11984,Neisseria,0.2557020554130694,0.012866127593480048,0.3294163403568749,-0.1334902955396314,1
X1286,Neisseria,-0.2332869984246131,0.01463477512665845,0.3394348212931845,-0.1334902955396314,-1
X1287,Neisseria,-0.2303496156707166,0.0154787150123179,0.3396846141759878,-0.1334902955396314,-1
X14123,Neisseria,0.23219678565644442,0.015600576619643203,0.3396846141759878,-0.1334902955396314,1
X1595,Neisseria,-0.3095583661621397,0.0013118562858669414,0.1736875082167981,-0.1334902955396314,-1
X266,Neisseria,-0.2367936117936118,0.012341410771099959,0.3294163403568749,-0.1334902955396314,-1
X686,Neisseria,-0.21858305344543877,0.021782125819559628,0.38048180359500655,-0.1334902955396314,-1
X709,Neisseria,-0.25724815724815725,0.006417931765297702,0.31260072231057634,-0.1334902955396314,-1
X711,Neisseria,-0.2651544401544402,0.004916135083540052,0.28152398049823235,-0.1334902955396314,-1
X7158,Neisseria,-0.21776480400333612,0.022924455276805755,0.383944600105717,-0.1334902955396314,-1
X7160,Neisseria,-0.20047414722075277,0.038411894095556454,0.4623938346444463,-0.1334902955396314,-1
X7161,Neisseria,-0.1935465431992912,0.044748613225712,0.4650541063383254,-0.1334902955396314,-1
X7171,Neisseria,-0.22862570660735798,0.01679500141148349,0.34652039676928437,-0.1334902955396314,-1
X7210,Neisseria,-0.21119820828667413,0.039928251918124325,0.4623938346444463,-0.1334902955396314,-1
X7268,Neisseria,-0.2700288015047317,0.004910552457325412,0.28152398049823235,-0.1334902955396314,-1
X7269,Neisseria,-0.18969771451980147,0.04925818848414121,0.47335094824143914,-0.1334902955396314,-1
X7636,Neisseria,-0.2326072607260726,0.01986602513862179,0.36197445804527756,-0.1334902955396314,-1
X1225,Meiothermus,0.2262904272078584,0.017977402227306705,0.34734138457634944,0.11829477232522183,1
X12426,Meiothermus,-0.19085841694537348,0.040145176240635516,0.4623938346444463,0.11829477232522183,-1
X15299,Meiothermus,-0.24566514566514566,0.009352316122892557,0.3294163403568749,0.11829477232522183,-1
X10230,Rothia,-0.29670379849722256,4.097970648500038e-4,0.11498905639691107,-0.14323676195913881,-1
X10350,Rothia,-0.22093547046860992,0.008710669244522906,0.3294163403568749,-0.14323676195913881,-1
X10367,Rothia,-0.1772434936953966,0.03484379843760621,0.4623938346444463,-0.14323676195913881,-1
X10408,Rothia,-0.2286895103977608,0.006572859093486816,0.31260072231057634,-0.14323676195913881,-1
X10574,Rothia,-0.31124105779278194,1.4640097289886356e-4,0.058685875707744445,-0.14323676195913881,-1
X10604,Rothia,-0.21566979992648216,0.011070284267622021,0.3294163403568749,-0.14323676195913881,-1
X10696,Rothia,-0.2751567681145146,8.811508799497769e-4,0.1592899806398963,-0.14323676195913881,-1
X1225,Rothia,-0.1672891902997368,0.04212843183459514,0.4623938346444463,-0.14323676195913881,-1
X140,Rothia,-0.17694674488152748,0.024738802585099418,0.3931231458689485,-0.14323676195913881,-1
X14307,Rothia,-0.18930947827598743,0.017937673986332836,0.34734138457634944,-0.14323676195913881,-1
X1550,Rothia,0.19798577680679574,0.011553875732356333,0.3294163403568749,-0.14323676195913881,1
X1766,Rothia,0.17216951296647692,0.032750363646628866,0.4585358389681776,-0.14323676195913881,1
X1767,Rothia,0.18988478228340566,0.014879003214205877,0.3394348212931845,-0.14323676195913881,1
X1912,Rothia,0.20204562869951173,0.013793264675051375,0.3294163403568749,-0.14323676195913881,1
X2202,Rothia,0.15969346675868415,0.0430216941071766,0.46252442017140816,-0.14323676195913881,1
X274,Rothia,-0.19102780200825076,0.01368717335813896,0.3294163403568749,-0.14323676195913881,-1
X7158,Rothia,-0.2182009315364149,0.0060443987142084765,0.31260072231057634,-0.14323676195913881,-1
X7160,Rothia,-0.21768554026618542,0.0065097641466949074,0.31260072231057634,-0.14323676195913881,-1
X7161,Rothia,-0.2403481012658228,0.002276080513534229,0.20602199745087246,-0.14323676195913881,-1
X7171,Rothia,-0.2502448053498925,0.0014659351022117129,0.1736875082167981,-0.14323676195913881,-1
X7226,Rothia,-0.17965493866305132,0.03367343044490578,0.461628499129091,-0.14323676195913881,-1
X7232,Rothia,-0.2044489992765855,0.013970258197600893,0.3294163403568749,-0.14323676195913881,-1
X7236,Rothia,-0.2149277229139831,0.011978779305638732,0.3294163403568749,-0.14323676195913881,-1
X7268,Rothia,-0.22634698361018477,0.004492897412492702,0.27406674216205484,-0.14323676195913881,-1
X7269,Rothia,-0.21951277764509194,0.005434171472257887,0.2989859833559928,-0.14323676195913881,-1
X7636,Rothia,-0.18226657219335538,0.028221175746727223,0.42398732815682727,-0.14323676195913881,-1
X7686,Rothia,-0.2338545256666062,0.004099143569155972,0.27151856930866985,-0.14323676195913881,-1
